section,Preparation,,,
order,53,,,
table_name,enrollees_without_baccalaureate,,,
display_table_name,,,,
table_has_categories,yes,,,
filter_by,,,,
filter_display_order,,,,
content,,,,
Dental School,,Four Years of Predental Education,Three Years of Predental Education,Two Years of Predental Education
University of Alabama at Birmingham School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
A.T. Still University Arizona School of Dentistry & Oral Health,"Of first-time, first-year enrollees without baccalaureates, the number with:",2,0,0
Midwestern University College of Dental Medicine-Arizona,"Of first-time, first-year enrollees without baccalaureates, the number with:",2,0,0
Herman Ostrow School of Dentistry of USC,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Loma Linda University School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",3,0,0
"University of California, Los Angeles, School of Dentistry","Of first-time, first-year enrollees without baccalaureates, the number with:",0,2,0
"University of California, San Francisco,  School of Dentistry ","Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,5
Western University of Health Sciences College of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Colorado School of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Connecticut School of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Howard University College of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Nova Southeastern University College of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Florida College of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Dental College of Georgia at Augusta University,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Midwestern University College of Dental Medicine-Illinois ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Southern Illinois University School of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",2,1,0
University of Illinois at Chicago College of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Indiana University School of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",1,0,0
The University of Iowa College of Dentistry & Dental Clinics ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Kentucky College of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Louisville School of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Louisiana State University Health New Orleans School of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of New England College of Dental Medicine ,"Of first-time, first-year enrollees without baccalaureates, the number with:",1,0,0
University of Maryland School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Boston University Henry M. Goldman School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,1,0
Harvard School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Tufts University School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",NR,NR,NR
University of Detroit Mercy School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",6,18,0
University of Michigan School of dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,2,0
University of Minnesota School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",NR,NR,NR
University of Mississippi Medical Center School of dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
A.T. Still University Missouri School of Dentistry & Oral Health,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
"University of Missouri - Kansas City, School of Dentistry","Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Creighton University School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",1,2,0
University of Nebraska Medical Center College of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",2,0,0
"University of Nevada, Las Vegas, School of Dental Medicine","Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
"Rutgers, The State University of New Jersey, School of Dental Medicine","Of first-time, first-year enrollees without baccalaureates, the number with:",0,9,0
Columbia University College of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
New York University College of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,20,0
Stony Brook University School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Touro College of Dental Medicine at New York Medical College,"Of first-time, first-year enrollees without baccalaureates, the number with:",NR,NR,NR
University at Buffalo School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
East Carolina University School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of North Carolina at Chapel Hill School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Case Western Reserve University School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",3,4,2
The Ohio State University College of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",1,0,0
University of Oklahoma College of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",2,0,0
Oregon Health & Science University School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
"The Maurice H. Kornberg School of Dentistry, Temple University","Of first-time, first-year enrollees without baccalaureates, the number with:",2,7,0
University of Pennsylvania School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,2,0
University of Pittsburgh School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",NR,NR,NR
University of Puerto Rico School of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Meharry Medical College School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Tennessee Health Science Center College of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Texas A&M University College of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
University of Texas Health Science Center at San Antonio School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",16,0,0
University of Texas School of Dentistry at Houston,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Of first-time, first-year enrollees without baccalaureates, the number with:",NR,NR,NR
University of Utah School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,0,0
Virginia Commonwealth University School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",,,
University of Washington School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",1,0,0
West Virginia University School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",1,1,0
Marquette University School of Dentistry,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,15,0
University of Alberta School of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",5,3,5
University of British Columbia Faculty of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,1,0
University of Manitoba College of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,10,8
Dalhousie University Faculty of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,1,2
University of Toronto Faculty of Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",0,20,0
Western University Schulich School of Medicine & Dentistry ,"Of first-time, first-year enrollees without baccalaureates, the number with:",NA,NA,NA
