section,Costs and Financial Aid,,,,
order,100,,,,
table_name,costs_based_on_2016_17_school_year,,,,
display_table_name,Costs Based on 2016–17 School Year,,,,
table_has_categories,yes,,,,
filter_by,,,,,
content,,,,,
Dental School,Type of Cost,First Year,Second Year,Third Year,Fourth Year
University of Alabama at Birmingham School of Dentistry,"Tuition, resident","$26,430 ","$26,430 ","$26,936 ","$26,484 "
University of Alabama at Birmingham School of Dentistry,"Tuition, nonresident","$60,414 ","$60,414 ","$62,392 ","$68,726 "
University of Alabama at Birmingham School of Dentistry,"Tuition, regional or international",NA,NA,NA,NA
University of Alabama at Birmingham School of Dentistry,Fees,"$1,816 ","$1,390 ","$1,887 ","$1,936 "
University of Alabama at Birmingham School of Dentistry,"Instruments, books and supplies","$12,121 ","$9,440 ","$6,316 ","$1,524 "
University of Alabama at Birmingham School of Dentistry,Estimated living expenses,"$22,119 ","$22,539 ","$22,119 ","$24,744 "
University of Alabama at Birmingham School of Dentistry,"Total, resident","$62,486 ","$59,799 ","$57,258 ","$54,688 "
University of Alabama at Birmingham School of Dentistry,"Total, nonresident","$96,470 ","$93,783 ","$92,714 ","$96,930 "
University of Alabama at Birmingham School of Dentistry,"Total, regional or international",NA,NA,NA,NA
University of Alabama at Birmingham School of Dentistry,#5#Notes: ,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, resident","$73,347 ","$71,291 ","$67,697 ","$64,523 "
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, nonresident","$73,347 ","$71,291 ","$67,697 ","$64,523 "
"A.T. Still University, Arizona School of Dentistry & Oral Health","Tuition, regional or international",NA,NA,NA,NA
"A.T. Still University, Arizona School of Dentistry & Oral Health",Fees,"$1,050 ","$1,050 ","$1,050 ","$1,050 "
"A.T. Still University, Arizona School of Dentistry & Oral Health","Instruments, books and supplies","$11,983 ","$12,193 ","$7,701 ","$8,157 "
"A.T. Still University, Arizona School of Dentistry & Oral Health",Estimated living expenses,"$31,141 ","$31,141 ","$31,141 ","$31,141 "
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, resident","$117,521 ","$115,675 ","$107,589 ","$104,871 "
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, nonresident","$117,521 ","$115,675 ","$107,589 ","$104,871 "
"A.T. Still University, Arizona School of Dentistry & Oral Health","Total, regional or international",NA,NA,NA,NA
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#Notes: ,,,,
Midwestern University College of Dental Medicine-Arizona,"Tuition, resident","$71,191 ","$71,191 ","$71,191 ","$71,191 "
Midwestern University College of Dental Medicine-Arizona,"Tuition, nonresident","$71,191 ","$71,191 ","$71,191 ","$71,191 "
Midwestern University College of Dental Medicine-Arizona,"Tuition, regional or international",NA,NA,NA,NA
Midwestern University College of Dental Medicine-Arizona,Fees,"$15,622 ","$13,137 ","$13,137 ","$13,137 "
Midwestern University College of Dental Medicine-Arizona,"Instruments, books and supplies","$2,295 ","$1,947 ",$150 ,$150 
Midwestern University College of Dental Medicine-Arizona,Estimated living expenses,"$22,302 ","$22,302 ","$30,028 ","$30,028 "
Midwestern University College of Dental Medicine-Arizona,"Total, resident","$111,410 ","$108,604 ","$114,506 ","$114,506 "
Midwestern University College of Dental Medicine-Arizona,"Total, nonresident","$111,410 ","$108,604 ","$114,506 ","$114,506 "
Midwestern University College of Dental Medicine-Arizona,"Total, regional or international",NA,NA,NA,NA
Midwestern University College of Dental Medicine-Arizona,"#5#Notes: Estimated living expenses include rent, utilities, meals, travel and personal expenses for off-campus students. ",,,,
Herman Ostrow School of Dentistry of USC,"Tuition, resident","$87,804 ","$87,804 ","$87,804 ","$58,536 "
Herman Ostrow School of Dentistry of USC,"Tuition, nonresident","$87,804 ","$87,804 ","$87,804 ","$58,536 "
Herman Ostrow School of Dentistry of USC,"Tuition, regional or international",NA,NA,NA,NA
Herman Ostrow School of Dentistry of USC,Fees,"$3,517 ","$3,062 ","$3,062 ","$2,779 "
Herman Ostrow School of Dentistry of USC,"Instruments, books and supplies","$15,353 ","$7,458 ","$4,224 ","$2,816 "
Herman Ostrow School of Dentistry of USC,Estimated living expenses,"$27,984 ","$27,984 ","$27,984 ","$27,984 "
Herman Ostrow School of Dentistry of USC,"Total, resident","$134,658 ","$126,308 ","$123,074 ","$85,119 "
Herman Ostrow School of Dentistry of USC,"Total, nonresident","$134,658 ","$126,308 ","$123,074 ","$85,119 "
Herman Ostrow School of Dentistry of USC,"Total, regional or international",NA,NA,NA,NA
Herman Ostrow School of Dentistry of USC,#5#Notes: ,,,,
Loma Linda University School of Dentistry,"Tuition, resident","$63,858 ","$78,480 ","$78,480 ","$78,480 "
Loma Linda University School of Dentistry,"Tuition, nonresident","$63,858 ","$78,480 ","$78,480 ","$78,480 "
Loma Linda University School of Dentistry,"Tuition, regional or international",NA,NA,NA,NA
Loma Linda University School of Dentistry,Fees,"$4,567 ","$5,447 ","$4,642 ","$4,621 "
Loma Linda University School of Dentistry,"Instruments, books and supplies","$16,678 ","$8,295 ","$1,548 ",$676 
Loma Linda University School of Dentistry,Estimated living expenses,"$16,350 ","$19,620 ","$19,620 ","$19,620 "
Loma Linda University School of Dentistry,"Total, resident","$101,453 ","$111,842 ","$104,290 ","$103,397 "
Loma Linda University School of Dentistry,"Total, nonresident","$101,453 ","$111,842 ","$104,290 ","$103,397 "
Loma Linda University School of Dentistry,"Total, regional or international",NA,NA,NA,NA
Loma Linda University School of Dentistry,#5#Notes: The fees do not include National Board Dental Examination (NBDE) I for the second year and NBDE II for the fourth year.,,,,
"University of California, Los Angeles, School of Dentistry","Tuition, resident","$41,748 ","$45,693 ","$45,693 ","$45,693 "
"University of California, Los Angeles, School of Dentistry","Tuition, nonresident","$50,798 ","$54,743 ","$54,743 ","$54,743 "
"University of California, Los Angeles, School of Dentistry","Tuition, regional or international",NA,NA,NA,NA
"University of California, Los Angeles, School of Dentistry",Fees,NA,NA,NA,NA
"University of California, Los Angeles, School of Dentistry","Instruments, books and supplies","$19,186 ","$13,810 ","$3,970 ","$4,305 "
"University of California, Los Angeles, School of Dentistry",Estimated living expenses,"$18,705 ","$24,940 ","$24,940 ","$24,940 "
"University of California, Los Angeles, School of Dentistry","Total, resident","$79,639 ","$84,443 ","$7,460 ","$74,938 "
"University of California, Los Angeles, School of Dentistry","Total, nonresident","$88,689 ","$93,493 ","$83,653 ","$83,988 "
"University of California, Los Angeles, School of Dentistry ","Total, regional or international",NA,NA,NA,NA
"University of California, Los Angeles, School of Dentistry","#5#Notes: Tuition costs include fees. Tuition for nonresidents includes nonresident supplemental tuition fee. Estimated living expenses for off-campus students include room and board, personal expenses and transportation. Tuition/fees are subject to change without prior notification. ",,,,
"University of California, San Francisco,  School of Dentistry ","Tuition, resident","$46,606 ","$46,606 ","$51,416 ","$51,416 "
"University of California, San Francisco,  School of Dentistry ","Tuition, nonresident","$58,851 ","$58,851 ","$63,661 ","$63,661 "
"University of California, San Francisco,  School of Dentistry ",Fees,$420 ,$420 ,$420 ,$420 
"University of California, San Francisco,  School of Dentistry ","Instruments, books, and supplies","$13,872 ","$9,099 ","$7,180 ","$8,314 "
"University of California, San Francisco,  School of Dentistry ",Estimated living expenses,"$23,742 ","$23,742 ","$31,656 ","$31,656 "
"University of California, San Francisco,  School of Dentistry ","Total, resident","$84,640 ","$79,867 ","$90,672 ","$91,806 "
"University of California, San Francisco,  School of Dentistry ","Total, nonresident","$96,885 ","$92,112 ","$102,917 ","$104,051 "
"University of California, San Francisco,  School of Dentistry ",#5#Notes: ,,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Tuition, resident","$104,585 ","$104,585 ","$104,585 ",NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Tuition, nonresident","$104,585 ","$104,585 ","$104,585 ",NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Fees,"$7,474 ","$8,508 ","$9,599 ",NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Instruments, books,and supplies","$14,730 ","$3,401 ",$800 ,NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Estimated living expenses,"$29,376 ","$29,376 ","$29,376 ",NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Total, resident","$156,165 ","$145,870 ","$144,360 ",NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Total, nonresident","$156,165 ","$145,870 ","$144,360 ",NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",#5#Notes: ,,,,
Western University of Health Sciences College of Dental Medicine ,"Tuition, resident","$68,975 ","$68,975 ","$68,975 ","$68,975 "
Western University of Health Sciences College of Dental Medicine ,"Tuition, nonresident","$68,975 ","$68,975 ","$68,975 ","$68,975 "
Western University of Health Sciences College of Dental Medicine ,Fees,"$9,365 ","$9,143 ","$9,215 ","$9,460 "
Western University of Health Sciences College of Dental Medicine ,"Instruments, books, and supplies","$3,795 ",$683 ,$685 ,$624 
Western University of Health Sciences College of Dental Medicine ,Estimated living expenses,"$20,643 ","$20,643 ","$20,643 ","$17,203 "
Western University of Health Sciences College of Dental Medicine ,"Total, resident","$102,778 ","$99,444 ","$99,518 ","$96,262 "
Western University of Health Sciences College of Dental Medicine ,"Total, nonresident","$102,778 ","$99,444 ","$99,518 ","$96,262 "
Western University of Health Sciences College of Dental Medicine ,#5#Notes: ,,,,
University of Colorado School of Dental Medicine ,"Tuition, resident","$34,580 ","$34,580 ","$34,580 ","$34,580 "
University of Colorado School of Dental Medicine ,"Tuition, nonresident","$59,883 ","$59,883 ","$59,883 ","$59,883 "
University of Colorado School of Dental Medicine ,Fees,"$5,178 ","$4,963 ","$4,963 ","$4,963 "
University of Colorado School of Dental Medicine ,"Instruments, books,and supplies","$9,860 ","$5,610 ","$5,610 ","$5,610 "
University of Colorado School of Dental Medicine ,Estimated living expenses,"$25,092 ","$25,092 ","$25,092 ","$18,819 "
University of Colorado School of Dental Medicine ,"Total, resident","$74,710 ","$70,245 ","$70,245 ","$63,972 "
University of Colorado School of Dental Medicine ,"Total, nonresident","$100,013 ","$95,548 ","$95,548 ","$89,275 "
University of Colorado School of Dental Medicine ,#5#Notes: ,,,,
University of Connecticut School of Dental Medicine ,"Tuition, resident","$30,667 ","$30,667 ","$30,667 ","$30,667 "
University of Connecticut School of Dental Medicine ,"Tuition, nonresident","$65,239 ","$65,239 ","$65,239 ","$65,239 "
University of Connecticut School of Dental Medicine ,"Tuition, New England resident","$53,668 ","$53,668 ","$53,668 ","$53,668 "
University of Connecticut School of Dental Medicine ,Fees,"$6,681 ","$6,681 ","$6,681 ","$6,681 "
University of Connecticut School of Dental Medicine ,"Instruments, books, and supplies","$9,938 ","$5,194 ","$1,350 ",$600 
University of Connecticut School of Dental Medicine ,Estimated living expenses,"$23,800 ","$24,565 ","$26,945 ","$24,140 "
University of Connecticut School of Dental Medicine ,"Total, resident","$71,086 ","$67,107 ","$65,643 ","$62,088 "
University of Connecticut School of Dental Medicine ,"Total, nonresident","$105,658 ","$101,679 ","$100,215 ","$96,660 "
University of Connecticut School of Dental Medicine ,"Total, New England resident","$94,087 ","$90,108 ","$88,644 ","$85,089 "
University of Connecticut School of Dental Medicine ,#5#Notes: ,,,,
Howard University College of Dentistry ,"Tuition, resident","$42,631 ","$42,631 ","$42,631 ","$42,631 "
Howard University College of Dentistry ,"Tuition, nonresident","$42,631 ","$42,631 ","$42,631 ","$42,631 "
Howard University College of Dentistry ,Fees,"$2,157 ","$3,387 ","$3,387 ","$3,387 "
Howard University College of Dentistry ,"Instruments, books, and supplies","$10,523 ","$9,917 ","$5,428 ","$1,562 "
Howard University College of Dentistry ,Estimated living expenses,"$30,308 ","$30,308 ","$30,308 ","$25,900 "
Howard University College of Dentistry ,"Total, resident","$85,619 ","$86,243 ","$81,654 ","$73,380 "
Howard University College of Dentistry ,"Total, nonresident","$85,619 ","$86,243 ","$81,654 ","$73,380 "
Howard University College of Dentistry ,#5#Notes: ,,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Tuition, resident","$49,700 ","$49,700 ","$49,700 ","$49,700 "
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Tuition, nonresident","$49,700 ","$49,700 ","$49,700 ","$49,700 "
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Fees,"$7,121 ","$6,959 ","$6,929 ","$7,037 "
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Instruments, books,and supplies","$10,828 ","$6,435 ","$5,336 ","$6,678 "
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Estimated living
expenses","$22,248 ","$26,166 ","$26,582 ","$27,780 "
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Total, resident","$89,897 ","$89,260 ","$88,547 ","$91,195 "
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Total, nonresident","$89,897 ","$89,260 ","$88,547 ","$91,195 "
