section,Predental Programs,Predental Programs,Predental Programs
New York University College of Dentistry,Yes,Summer enrichment programs (predental and undergraduate research programs) • School visits and open houses throughout the calendar year,
Stony Brook University School of Dental Medicine,Yes,Summer enrichment programs (research opportunities),
Touro College of Dental Medicine at New York Medical College,No,,
University at Buffalo School of Dental Medicine,Yes,"Big Little Mentor Program
• DAT Crash Course
• Impressions Day
• Outreach to predental programs
• Preview Day
• Waxing Seminar",http://prehealth.buffalo.edu/
East Carolina University School of Dental Medicine,No,,
University of North Carolina at Chapel Hill School of Dentistry,Yes,"Summer enrichment programs:
• Medical Education Program (MED)
• Science Enrichment Preparation Program (SEP)",
Case Western Reserve University School of Dental Medicine,Yes,"Jefferson Jones Summer Research and Mentoring Program
• Special affiliations with colleges and universities:
   ›› Denison University: 3+4 Program
   ›› Gannon University: 3+4 Program
   ›› Hiram College: 3+4 Program
   ›› University of Toledo: 3+4 Program
   ›› Walsh University: 3+4 Program
   ›› Westminster College: 3+4 Program
   ›› Wooster College: 3+4 Program",https://dental.case.edu/admissions/dmd/apply/accelerated/
The Ohio State University College of Dentistry,Yes,"ASDA Pre-Dent Day
• Discovering Dental School (D.D.S.) Evening
• Group Advising Sessions
• Postbaccalaureate programs (DentPath)
• SNDA Impressions Day",https://dentistry.osu.edu/dds/prospective/visit-us
University of Oklahoma College of Dentistry,Yes,Summer enrichment programs,
Oregon Health & Science University School of Dentistry,No,,
"The Maurice H. Kornberg School of Dentistry, Temple University",Yes,"Special affiliations with colleges and universities (Alvernia College, Cabrini College, Caldwell University, Coppin State University, Edinboro University of Pennsylvania, Elizabethtown College, Indiana University of Pennsylvania, Juniata College, King’s College, Mansfield University)",http://www.temple.edu/healthadvising/
University of Pennsylvania School of Dental Medicine,Yes,Special affiliations with colleges and universities (University of Pennsylvania; Hampton University; Lehigh University; Muhlenberg College; Villanova University) • Summer enrichment programs (introduction to dentistry and dental simulation lab),
University of Pittsburgh School of Dental Medicine,Yes,Postbaccalaureate programs,https://oafa.pitt.edu/explore/guaranteedadmissionsprograms/dental-gap
University of Puerto Rico School of Dental Medicine,Yes,"Special affiliations with colleges and universities: University of Rochester (combined double D.M.D./Ph.D. degree); Lutheran Medical Center (advanced dental education programs in Endodontics and Advanced Education in General Dentistry)
Summer enrichment programs",
Medical University of South Carolina James B. Edwards College of Dental Medicine,No,,
Meharry Medical College School of Dentistry,No,,
University of Tennessee Health Science Center College of Dentistry,Yes,DAT workshops,http://uthsc.edu/dentistry/admissions/DDS/
Texas A&M University College of Dentistry,Yes,"DAT workshops
• Postbaccalaureate programs
• Special affiliations with colleges and universities
• Summer enrichment programs",https://dentistry.tamhsc.edu/coe/
University of Texas Health Science Center at San Antonio School of Dentistry,Yes,Hispanic Center of Excellence (LEAD Program [Learning Enhancement for Achievement in Dentistry]) • Special affiliations with colleges and universities in Texas (Dual Degree/Early Acceptance [3+4] Program),
University of Texas School of Dentistry at Houston,Yes,"Summer Health Professions Education Program • Special affiliations with colleges and universities (pipeline programs with The University of Texas Rio Grande Valley, The University of Texas at El Paso; The University of Houston-Downtown; Prairie View A&M University; Texas A&M University-Corpus Christi; Texas A&M International University; Texas A&M University-Kingsville)",https://dentistry.uth.edu/students/
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",No,,
University of Utah School of Dentistry,Yes,"Predental Advising Office: ppa@uc.utah.edu
",
Virginia Commonwealth University School of Dentistry,Yes,"Dental Career Exploration Program
• Postbaccalaureate programs
• Summer enrichment programs: VCU Summer Academic Enrichment Program (SAEP)
• VCU Scholars Academic Year High School Program",http://www.dhsd.vcu.edu/pipeline-programs/
University of Washington School of Dentistry,Yes,"Summer Health Professions Education Program
• Other summer enrichment programs",https://dental.washington.edu/students/predental-students/
West Virginia University School of Dentistry,Yes,"Special affiliations with colleges and universities: Dental Early Admission Programs—Elizabethtown College; Shepherd University; Slippery Rock University; West Liberty University; West Virginia State University
• Summer enrichment programs",http://dentistry.hsc.wvu.edu/education/programs/doctor-of-dental-surgery/early-admission-programs
Marquette University School of Dentistry,Yes,"DAT workshops
• Other summer enrichment programs
• Special affiliations with colleges and universities: Marquette University",
University of Alberta School of Dentistry ,Yes,"DAT workshops
• Postbaccalaureate programs",https://www.ualberta.ca/science
University of British Columbia Faculty of Dentistry ,No,,
University of Manitoba College of Dentistry ,No,,http://umanitoba.ca/student/admissions/programs/science.html
Dalhousie University Faculty of Dentistry ,No,,https://www.dal.ca/faculty/dentistry.html
University of Toronto Faculty of Dentistry ,No,,
Western University Schulich School of Medicine & Dentistry ,Yes,Four-year postbaccalaureate programs,
McGill University Faculty of Dentistry ,Yes,Postbaccalaureate programs,
Université Laval Faculté de Médecine Dentaire ,No,,
Université de Montréal Faculté de Médecine Dentaire,Yes,Summer enrichment programs,
University of Saskatchewan College of Dentistry,No,,
