section,Preparation,,,,
order,54,,,,
table_name,prerequisites,,,,
display_table_name,Prerequisites,,,,
table_has_categories,yes,,,,
filter_by,,,,,
filter_display_order,,,,,
content,,,,,
Dental School,Prerequisite Course,Required,Recommended,Lab Required,"Credits
(Semester/Quarter)"
University of Alabama at Birmingham School of Dentistry,#5#BCP (Biology – Chemistry – Physics),,,,
University of Alabama at Birmingham School of Dentistry,Biology,x,,x,12/18
University of Alabama at Birmingham School of Dentistry,"Chemistry, general/inorganic",x,,x,8/12
University of Alabama at Birmingham School of Dentistry,"Chemistry, organic",x,,x,8/12
University of Alabama at Birmingham School of Dentistry,Physics,x,,x,8/12
University of Alabama at Birmingham School of Dentistry,#5#Additional Biological Sciences ,,,,
University of Alabama at Birmingham School of Dentistry,Anatomy,,x,,
University of Alabama at Birmingham School of Dentistry,Biochemistry,,x,,
University of Alabama at Birmingham School of Dentistry,Cell biology,,x,,
University of Alabama at Birmingham School of Dentistry,Histology,,x,,
University of Alabama at Birmingham School of Dentistry,Immunology,,x,,
University of Alabama at Birmingham School of Dentistry,Microbiology,,x,,
University of Alabama at Birmingham School of Dentistry,Molecular biology/genetics,,x,,
University of Alabama at Birmingham School of Dentistry,Physiology,,x,,
University of Alabama at Birmingham School of Dentistry,Zoology,,x,,
University of Alabama at Birmingham School of Dentistry,#5#English,,,,
University of Alabama at Birmingham School of Dentistry,English,x,,,6/9
University of Alabama at Birmingham School of Dentistry,#5#Other Science,,,,
University of Alabama at Birmingham School of Dentistry,Mathematics,x,,,6/9
University of Alabama at Birmingham School of Dentistry,Notes: ,#4#30/45 semester/quarter credits of nonscience courses required.,,,
A.T. Still University Arizona School of Dentistry & Oral Health,#5#BCP (Biology – Chemistry – Physics),,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Biology,x,,x,8/12
A.T. Still University Arizona School of Dentistry & Oral Health,"Chemistry, general/inorganic",x,,x,8/12
A.T. Still University Arizona School of Dentistry & Oral Health,"Chemistry, organic",x,,x,8/12
A.T. Still University Arizona School of Dentistry & Oral Health,Physics,x,,x,8/12
A.T. Still University Arizona School of Dentistry & Oral Health,#5#Additional Biological Sciences ,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Anatomy,x,,,3/4
A.T. Still University Arizona School of Dentistry & Oral Health,Biochemistry,x,,,3/4
A.T. Still University Arizona School of Dentistry & Oral Health,Cell biology,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Histology,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Immunology,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Microbiology,,x,,
A.T. Still University Arizona School of Dentistry & Oral Health,Molecular biology/genetics,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Physiology,x,,,3/4
A.T. Still University Arizona School of Dentistry & Oral Health,Zoology,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,#5#English,,,,
A.T. Still University Arizona School of Dentistry & Oral Health,Composition,x (See Notes.),,,3/4
A.T. Still University Arizona School of Dentistry & Oral Health,Notes: ,#4#English composition or technical writing.,,,
Midwestern University College of Dental Medicine-Arizona,#5#BCP (Biology – Chemistry – Physics),,,,
Midwestern University College of Dental Medicine-Arizona,Biology,x,,x,8/12
Midwestern University College of Dental Medicine-Arizona,"Chemistry, general/inorganic",x,,x,8/12
Midwestern University College of Dental Medicine-Arizona,"Chemistry, organic",x,,x,4/6
Midwestern University College of Dental Medicine-Arizona,Physics,x,,x,8/12
Midwestern University College of Dental Medicine-Arizona,#5#Additional Biological Sciences ,,,,
Midwestern University College of Dental Medicine-Arizona,Anatomy,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Biochemistry,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Cell biology,,,,
Midwestern University College of Dental Medicine-Arizona,Histology,,x,,
Midwestern University College of Dental Medicine-Arizona,Immunology,,x,,
Midwestern University College of Dental Medicine-Arizona,Microbiology,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Molecular biology/genetics,,x,,
Midwestern University College of Dental Medicine-Arizona,Physiology,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Zoology,,x,,
Midwestern University College of Dental Medicine-Arizona,#5#English,,,,
Midwestern University College of Dental Medicine-Arizona,Composition,x,,,6/9
Midwestern University College of Dental Medicine-Arizona,Notes: ,#4#English composition or technical writing.,,,
Herman Ostrow School of Dentistry of USC,#5#BCP (Biology – Chemistry – Physics),,,,
Herman Ostrow School of Dentistry of USC,Biology,x,,x,8/10
Herman Ostrow School of Dentistry of USC,"Chemistry, general/inorganic",x,,x,8/10
Herman Ostrow School of Dentistry of USC,"Chemistry, organic",x,,x,8/10
Herman Ostrow School of Dentistry of USC,Physics,x,,x,8/10
Herman Ostrow School of Dentistry of USC,#5#Additional Biological Sciences ,,,,
Herman Ostrow School of Dentistry of USC,Anatomy,,x,,
Herman Ostrow School of Dentistry of USC,Biochemistry,,x,,8/10
Herman Ostrow School of Dentistry of USC,Cell biology,,x,,
Herman Ostrow School of Dentistry of USC,Histology,,x,,
Herman Ostrow School of Dentistry of USC,Immunology,,x,,
Herman Ostrow School of Dentistry of USC,Microbiology,,x,,
Herman Ostrow School of Dentistry of USC,Molecular biology/genetics,,x,,
Herman Ostrow School of Dentistry of USC,Physiology,,x,,
Herman Ostrow School of Dentistry of USC,Zoology,,,,
Loma Linda University School of Dentistry,#5#BCP (Biology – Chemistry – Physics),,,,
Loma Linda University School of Dentistry,Biology,x,,x,8/12
Loma Linda University School of Dentistry,"Chemistry, general/inorganic",x,,x,8/12
Loma Linda University School of Dentistry,"Chemistry, organic",x,,x,8/12
Loma Linda University School of Dentistry,Physics,x,,x,8/12
Loma Linda University School of Dentistry,#5#Additional Biological Sciences ,,,,
Loma Linda University School of Dentistry,Anatomy,,x,,4/4
Loma Linda University School of Dentistry,Biochemistry,x,,,4/8
Loma Linda University School of Dentistry,Cell biology,,x,,4/4
Loma Linda University School of Dentistry,Histology,,x,,4/4
